#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
88,CVE-2019-19069,401,,DoS,2019-11-18,2021-06-22,7.8,None,Remote,Low,Not required,None,None,Complete,A memory leak in the fastrpc_dma_buf_attach() function in drivers/misc/fastrpc.c in the Linux kernel before 5.3.9 allows attackers to cause a denial of service (memory consumption) by triggering dma_get_sgtable() failures
107,CVE-2019-19050,401,,DoS,2019-11-18,2021-06-22,7.8,None,Remote,Low,Not required,None,None,Complete,A memory leak in the crypto_reportstat() function in crypto/crypto_user_stat.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption) by triggering crypto_reportstat_alg() failures
79,CVE-2019-19078,401,,DoS,2019-11-18,2021-06-14,7.8,None,Remote,Low,Not required,None,None,Complete,A memory leak in the ath10k_usb_hif_tx_sg() function in drivers/net/wireless/ath/ath10k/usb.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption) by triggering usb_submit_urb() failures
83,CVE-2019-19074,401,,DoS,2019-11-18,2021-06-14,7.8,None,Remote,Low,Not required,None,None,Complete,A memory leak in the ath9k_wmi_cmd() function in drivers/net/wireless/ath/ath9k/wmi.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption)
105,CVE-2019-19052,401,,DoS,2019-11-18,2021-06-14,7.8,None,Remote,Low,Not required,None,None,Complete,A memory leak in the gs_can_open() function in drivers/net/can/usb/gs_usb.c in the Linux kernel before 5.3.11 allows attackers to cause a denial of service (memory consumption) by triggering usb_submit_urb() failures
87,CVE-2019-19070,401,,DoS,2019-11-18,2021-06-02,7.8,None,Remote,Low,Not required,None,None,Complete,** DISPUTED ** A memory leak in the spi_gpio_probe() function in drivers/spi/spi-gpio.c in the Linux kernel through 5.3.11 allows attackers to cause a denial of service (memory consumption) by triggering devm_add_action_or_reset() failures
144,CVE-2019-8980,401,,DoS,2019-02-21,2021-06-02,7.8,None,Remote,Low,Not required,None,None,Complete,A memory leak in the kernel_read_file function in fs/exec.c in the Linux kernel through 4.20.11 allows attackers to cause a denial of service (memory consumption) by triggering vfs_read failures.
58,CVE-2020-11255,401,,DoS,2021-04-07,2021-04-12,7.8,None,Remote,Low,Not required,None,None,Complete,Denial of service while processing RTCP packets containing multiple SDES reports due to memory for last SDES packet is freed and rest of the memory is leaked in Snapdragon Auto
13,CVE-2021-20215,401,,,2021-03-25,2021-03-27,7.8,None,Remote,Low,Not required,None,None,Complete,A flaw was found in Privoxy in versions before 3.0.29. Memory leaks in the show-status CGI handler when memory allocations fail can lead to a system crash.
14,CVE-2021-20214,401,,,2021-03-25,2021-03-27,7.8,None,Remote,Low,Not required,None,None,Complete,A flaw was found in Privoxy in versions before 3.0.29. Memory leaks in the client-tags CGI handler when client tags are configured and memory allocations fail can lead to a system crash.
17,CVE-2021-20210,401,,,2021-03-25,2021-03-27,7.8,None,Remote,Low,Not required,None,None,Complete,A flaw was found in Privoxy in versions before 3.0.29. Memory leak in the show-status CGI handler when no filter files are configured can lead to a system crash.
15,CVE-2021-20212,401,,,2021-03-25,2021-03-26,7.8,None,Remote,Low,Not required,None,None,Complete,A flaw was found in Privoxy in versions before 3.0.29. Memory leak if multiple filters are executed and the last one is skipped due to a pcre error leading to a system crash.
16,CVE-2021-20211,401,,,2021-03-25,2021-03-26,7.8,None,Remote,Low,Not required,None,None,Complete,A flaw was found in Privoxy in versions before 3.0.29. Memory leak when client tags are active can cause a system crash.
25,CVE-2020-35502,401,,,2021-03-25,2021-03-26,7.8,None,Remote,Low,Not required,None,None,Complete,A flaw was found in Privoxy in versions before 3.0.29. Memory leaks when a response is buffered and the buffer limit is reached or Privoxy is running out of memory can lead to a system crash.
67,CVE-2020-3373,401,,DoS,2020-10-21,2020-10-29,7.8,None,Remote,Low,Not required,None,None,Complete,A vulnerability in the IP fragment-handling implementation of Cisco Adaptive Security Appliance (ASA) Software and Cisco Firepower Threat Defense (FTD) Software could allow an unauthenticated
68,CVE-2020-1683,401,,,2020-10-16,2020-10-28,7.8,None,Remote,Low,Not required,None,None,Complete,On Juniper Networks Junos OS devices
