#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
25,CVE-2017-13151,682,,Exec Code,2017-12-06,2019-10-03,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,A remote code execution vulnerability in the Android media framework (libmpeg2). Product: Android. Versions: 6.0
29,CVE-2017-9725,682,,,2017-09-21,2019-10-03,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,In all Qualcomm products with Android releases from CAF using the Linux kernel
36,CVE-2017-0679,682,,Exec Code,2017-07-06,2019-10-03,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,A remote code execution vulnerability in the Android media framework. Product: Android. Versions: 6.0
37,CVE-2017-0666,682,,,2017-07-06,2019-10-03,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,A elevation of privilege vulnerability in the Android framework. Product: Android. Versions: 4.4.4
38,CVE-2017-0545,682,,Exec Code +Priv,2017-04-07,2019-10-03,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,An elevation of privilege vulnerability in Audioserver could enable a local malicious application to execute arbitrary code within the context of a privileged process. This issue is rated as High because it could be used to gain local access to elevated capabilities
20,CVE-2018-15391,682,,DoS,2018-10-05,2019-10-09,7.8,None,Remote,Low,Not required,None,None,Complete,A vulnerability in certain IPv4 fragment-processing functions of Cisco Remote PHY Software could allow an unauthenticated
35,CVE-2017-0819,682,,,2017-10-04,2019-10-03,7.8,None,Remote,Low,Not required,None,None,Complete,A vulnerability in the Android media framework (n/a). Product: Android. Versions: 7.0
11,CVE-2020-1026,682,,Bypass +Info,2020-04-15,2020-04-22,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,A Security Feature Bypass vulnerability exists in the MSR JavaScript Cryptography Library that is caused by multiple bugs in the libraryÃ¢â‚¬â„¢s Elliptic Curve Cryptography (ECC) implementation.An attacker could potentially abuse these bugs to learn information about a serverÃ¢â‚¬â„¢s private ECC key (a key leakage attack) or craft an invalid ECDSA signature that nevertheless passes as valid.The security update addresses the vulnerability by fixing the bugs disclosed in the ECC implementation
23,CVE-2018-8319,682,,Bypass,2018-07-11,2018-09-05,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,A Security Feature Bypass vulnerability exists in MSR JavaScript Cryptography Library that is caused by incorrect arithmetic computations
13,CVE-2019-19578,682,,DoS +Info,2019-12-11,2020-08-24,7.2,None,Local,Low,Not required,Complete,Complete,Complete,An issue was discovered in Xen through 4.12.x allowing x86 PV guest OS users to cause a denial of service via degenerate chains of linear pagetables
