#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
12,CVE-2017-0544,672,,Exec Code,2017-04-07,43741,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,An elevation of privilege vulnerability in CameraBase could enable a local malicious application to execute arbitrary code. This issue is rated as High because it is a local arbitrary code execution in a privileged process. Product: Android. Versions: 4.4.4
8,CVE-2019-17638,672,,,2020-07-09,44361,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,In Eclipse Jetty
3,CVE-2020-24030,672,,,2020-09-02,44084,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,ForLogic Qualiex v1 and v3 has weak token expiration. This allows remote unauthenticated privilege escalation and access to sensitive data via token reuse.
5,CVE-2020-12043,672,,,2020-06-29,44020,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,The Baxter Spectrum WBM (v17
2,CVE-2020-25221,672,,,2020-09-10,44105,7.2,None,Local,Low,Not required,Complete,Complete,Complete,get_gate_page in mm/gup.c in the Linux kernel 5.7.x and 5.8.x before 5.8.7 allows privilege escalation because of incorrect reference counting (caused by gate page mishandling) of the struct page that backs the vsyscall page. The result is a refcount underflow. This can be triggered by any 64-bit process that can use ptrace() or process_vm_readv()
9,CVE-2019-15794,672,,,2020-04-24,43977,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Overlayfs in the Linux kernel and shiftfs
11,CVE-2017-14895,672,,,2017-12-05,43741,7.2,None,Local,Low,Not required,Complete,Complete,Complete,In Android for MSM
10,CVE-2019-15691,672,,Exec Code,2019-12-26,43851,6.5,None,Remote,Low,???,Partial,Partial,Partial,TigerVNC version prior to 1.10.1 is vulnerable to stack use-after-return
1,CVE-2021-23995,672,,,2021-06-24,44379,5.1,None,Remote,High,Not required,Partial,Partial,Partial,When Responsive Design Mode was enabled
6,CVE-2019-20022,672,,,2019-12-27,43832,4.3,None,Remote,Medium,Not required,None,None,Partial,An invalid memory address dereference was discovered in load_pnm in frompnm.c in libsixel before 1.8.3.
4,CVE-2020-15270,672,,,2020-10-22,44134,4,None,Remote,Low,???,Partial,None,None,Parse Server (npm package parse-server) broadcasts events to all clients without checking if the session token is valid. This allows clients with expired sessions to still receive subscription objects. It is not possible to create subscription objects with invalid session tokens. The issue is not patched.
7,CVE-2019-19480,672,,,2019-12-01,43854,2.1,None,Local,Low,Not required,None,None,Partial,An issue was discovered in OpenSC through 0.19.0 and 0.20.x through 0.20.0-rc3. libopensc/pkcs15-prkey.c has an incorrect free operation in sc_pkcs15_decode_prkdf_entry.
