#,CVE ID,CWE ID,# of Exploits,Vulnerability Type(s),Publish Date,Update Date,Score,Gained Access Level,Access,Complexity,Authentication,Conf.,Integ.,Avail.,Description
76,CVE-2018-12812,704,,Exec Code,2018-07-20,2019-08-21,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader 2018.011.20038 and earlier
11,CVE-2019-2097,704,,Exec Code Mem. Corr.,2019-06-07,2019-06-11,10,None,Remote,Low,Not required,Complete,Complete,Complete,In HAliasAnalyzer.Query of hydrogen-alias-analysis.h
108,CVE-2018-4944,704,,Exec Code,2018-05-19,2019-03-07,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Flash Player versions 29.0.0.140 and earlier have an exploitable type confusion vulnerability. Successful exploitation could lead to arbitrary code execution in the context of the current user.
162,CVE-2016-6992,704,,Exec Code,2016-10-13,2019-03-07,10,None,Remote,Low,Not required,Complete,Complete,Complete,"Adobe Flash Player before 18.0.0.382 and 19.x through 23.x before 23.0.0.185 on Windows and OS X and before 11.2.202.637 on Linux allows attackers to execute arbitrary code by leveraging an unspecified ""type confusion."""
22,CVE-2018-15981,704,,Exec Code,2018-11-29,2018-12-28,10,None,Remote,Low,Not required,Complete,Complete,Complete,Flash Player versions 31.0.0.148 and earlier have a type confusion vulnerability. Successful exploitation could lead to arbitrary code execution.
109,CVE-2018-4920,704,,Exec Code,2018-05-19,2018-06-27,10,None,Remote,Low,Not required,Complete,Complete,Complete,Adobe Flash Player versions 28.0.0.161 and earlier have an exploitable type confusion vulnerability. Successful exploitation could lead to arbitrary code execution in the context of the current user.
5,CVE-2020-7081,704,,,2020-04-17,2020-04-23,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,A type confusion vulnerability in the Autodesk FBX-SDK versions 2019.0 and earlier may lead to arbitary code read/write on the system running it.
73,CVE-2018-12876,704,,Exec Code,2018-10-12,2019-08-21,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2018.011.20063 and earlier
74,CVE-2018-12858,704,,Exec Code,2018-10-12,2019-08-21,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2018.011.20063 and earlier
75,CVE-2018-12835,704,,Exec Code,2018-10-12,2019-08-21,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Acrobat and Reader versions 2018.011.20063 and earlier
155,CVE-2016-7865,704,,Exec Code,2016-11-08,2019-05-16,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Flash Player versions 23.0.0.205 and earlier
156,CVE-2016-7861,704,,Exec Code,2016-11-08,2019-05-15,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Flash Player versions 23.0.0.205 and earlier
157,CVE-2016-7860,704,,Exec Code,2016-11-08,2019-05-15,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Flash Player versions 23.0.0.205 and earlier
110,CVE-2018-4285,704,,,2019-04-03,2019-04-04,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,A type confusion issue was addressed with improved memory handling. This issue affected versions prior to macOS High Sierra 10.13.6.
135,CVE-2017-11257,704,,Exec Code,2017-08-11,2019-03-14,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Acrobat Reader 2017.009.20058 and earlier
136,CVE-2017-11221,704,,Exec Code,2017-08-11,2019-03-14,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Acrobat Reader 2017.009.20058 and earlier
92,CVE-2018-9490,704,,Exec Code,2018-10-02,2018-12-28,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,In CollectValuesOrEntriesImpl of elements.cc
148,CVE-2017-3106,704,,Exec Code,2017-08-11,2018-01-05,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Flash Player versions 26.0.0.137 and earlier have an exploitable type confusion vulnerability when parsing SWF files. Successful exploitation could lead to arbitrary code execution.
120,CVE-2017-16379,704,,Overflow,2017-12-09,2017-12-15,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,An issue was discovered in Adobe Acrobat and Reader: 2017.012.20098 and earlier versions
121,CVE-2017-16367,704,,Overflow Mem. Corr. +Info,2017-12-09,2017-12-14,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,An issue was discovered in Adobe Acrobat and Reader: 2017.012.20098 and earlier versions
140,CVE-2017-8159,704,,Exec Code Overflow,2017-11-22,2017-12-12,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Some Huawei smartphones with software AGS-L09C233B019
159,CVE-2016-7617,704,,DoS Exec Code,2017-02-20,2017-09-03,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,"An issue was discovered in certain Apple products. macOS before 10.12.2 is affected. The issue involves the ""Bluetooth"" component. It allows attackers to execute arbitrary code in a privileged context or cause a denial of service (type confusion) via a crafted app."
150,CVE-2017-2962,704,,Exec Code,2017-01-11,2017-01-18,9.3,None,Remote,Medium,Not required,Complete,Complete,Complete,Adobe Acrobat Reader versions 15.020.20042 and earlier
151,CVE-2017-0607,704,,Exec Code,2017-05-12,2019-10-03,7.6,None,Remote,High,Not required,Complete,Complete,Complete,An elevation of privilege vulnerability in the Qualcomm sound driver could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High because it first requires compromising a privileged process. Product: Android. Versions: Kernel-3.18. Android ID: A-35400551. References: QC-CR#1085928.
152,CVE-2017-0037,704,,Exec Code,2017-02-26,2017-11-19,7.6,None,Remote,High,Not required,Complete,Complete,Complete,Microsoft Internet Explorer 10 and 11 and Microsoft Edge have a type confusion issue in the Layout::MultiColumnBoxBuilder::HandleColumnBreakOnColumnSpanningElement function in mshtml.dll
2,CVE-2020-25576,704,,,2020-09-14,2020-09-22,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,An issue was discovered in the rand_core crate before 0.4.2 for Rust. Casting of byte slices to integer slices mishandles alignment constraints.
25,CVE-2018-14403,704,,,2018-07-19,2019-11-17,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,MP4NameFirstMatches in mp4util.cpp in MP4v2 2.0.0 mishandles substrings of atom names
160,CVE-2016-7398,704,,Exec Code,2019-09-06,2019-09-20,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,A type confusion vulnerability in the merge_param() function of php_http_params.c in PHP's pecl-http extension 3.1.0beta2 (PHP 7) and earlier as well as 2.6.0beta2 (PHP 5) and earlier allows attackers to crash PHP and possibly execute arbitrary code via crafted HTTP requests.
154,CVE-2016-7979,704,,Exec Code Bypass,2017-05-23,2018-01-05,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,Ghostscript before 9.21 might allow remote attackers to bypass the SAFER mode protection mechanism and consequently execute arbitrary code by leveraging type confusion in .initialize_dsc_parser.
137,CVE-2017-9183,704,,,2017-05-23,2017-05-28,7.5,None,Remote,Low,Not required,Partial,Partial,Partial,"libautotrace.a in AutoTrace 0.31.1 has a ""cannot be represented in type int"" issue in input-bmp.c:309:7."
91,CVE-2018-9568,704,,Mem. Corr.,2018-12-06,2020-10-15,7.2,None,Local,Low,Not required,Complete,Complete,Complete,In sk_clone_lock of sock.c
141,CVE-2017-5717,704,,,2017-12-12,2017-12-27,7.2,None,Local,Low,Not required,Complete,Complete,Complete,Type Confusion in Content Protection HECI Service in Intel Graphics Driver allows unprivileged user to elevate privileges via local access.
165,CVE-2016-4710,704,,,2016-09-25,2017-07-30,7.2,None,Local,Low,Not required,Complete,Complete,Complete,"WindowServer in Apple OS X before 10.12 allows local users to obtain root access via vectors that leverage ""type confusion"
1,CVE-2021-25175,704,,DoS,2021-01-18,2021-03-04,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An issue was discovered in Open Design Alliance Drawings SDK before 2021.11. A Type Conversion issue exists when rendering malformed .DXF and .DWG files. This can allow attackers to cause a crash
163,CVE-2016-5263,704,,Exec Code,2016-08-05,2019-12-27,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,The nsDisplayList::HitTest function in Mozilla Firefox before 48.0 and Firefox ESR 45.x before 45.3 mishandles rendering display transformation
26,CVE-2018-14379,704,,DoS Mem. Corr.,2018-07-18,2019-11-17,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,MP4Atom::factory in mp4atom.cpp in MP4v2 2.0.0 incorrectly uses the MP4ItemAtom data type in a certain case where MP4DataAtom is required
20,CVE-2018-16513,704,,,2018-09-05,2019-11-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,In Artifex Ghostscript before 9.24
23,CVE-2018-15910,704,,Exec Code,2018-08-27,2019-11-05,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,In Artifex Ghostscript before 9.24
24,CVE-2018-15909,704,,Exec Code,2018-08-27,2019-10-16,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,In Artifex Ghostscript 9.23 before 2018-08-24
9,CVE-2019-5053,704,,,2019-10-09,2019-10-11,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,An exploitable use-after-free vulnerability exists in the Length parsing function of NitroPDF. A specially crafted PDF can cause a type confusion
15,CVE-2018-19027,704,,Exec Code,2019-01-30,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,Three type confusion vulnerabilities exist in CX-One Versions 4.50 and prior and CX-Protocol Versions 2.0 and prior when processing project files. An attacker could use a specially crafted project file to exploit and execute code under the privileges of the application.
16,CVE-2018-19019,704,,Exec Code,2019-01-22,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,A type confusion vulnerability exists when processing project files in CX-Supervisor (Versions 3.42 and prior). An attacker could use a specially crafted project file to exploit and execute code under the privileges of the application.
18,CVE-2018-17913,704,,Exec Code,2018-11-05,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,A type confusion vulnerability exists when processing project files in Omron CX-Supervisor Versions 3.4.1.0 and prior
19,CVE-2018-17685,704,,Exec Code,2019-01-24,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.2.0.9297. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the handling of PDF files. The issue results from the lack of proper validation of user-supplied data
27,CVE-2018-14317,704,,Exec Code,2018-08-30,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.1.0.5096. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the processing of PDF files. The issue results from the lack of proper validation of user-supplied data
28,CVE-2018-14313,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.0.1.5096. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the handling of PDF files. The issue results from the lack of proper validation of user-supplied data
29,CVE-2018-14311,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the handling of XFA events. The issue results from the lack of proper validation of user-supplied data
30,CVE-2018-14288,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.0.1.1049. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the handling of arguments passed to the setFocus function. The issue results from the lack of proper validation of user-supplied data
31,CVE-2018-14287,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.0.1.1049. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the handling of arguments passed to the instanceManager.nodes.append function. The issue results from the lack of proper validation of user-supplied data
32,CVE-2018-14286,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.0.1.1049. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the handling of arguments passed to the mailDoc function. The issue results from the lack of proper validation of user-supplied data
33,CVE-2018-14285,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.0.1.1049. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the handling of the oneOfChild attribute. The issue results from the lack of proper validation of user-supplied data
34,CVE-2018-14279,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.0.1.1049. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the resetForm method. By performing actions in JavaScript
35,CVE-2018-14278,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.0.1.1049. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the getPageNumWords method. By performing actions in JavaScript
36,CVE-2018-14277,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.0.1.1049. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the mailDoc method. By performing actions in JavaScript
37,CVE-2018-14276,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.0.1.1049. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the submitForm method. By performing actions in JavaScript
38,CVE-2018-14275,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.0.1.1049. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the spawnPageFromTemplate method. By performing actions in JavaScript
39,CVE-2018-14274,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.0.1.1049. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the scroll method. By performing actions in JavaScript
40,CVE-2018-14273,704,,Exec Code,2018-07-31,2019-10-09,6.8,None,Remote,Medium,Not required,Partial,Partial,Partial,This vulnerability allows remote attackers to execute arbitrary code on vulnerable installations of Foxit Reader 9.0.1.1049. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the removeTemplate method. By performing actions in JavaScript
